antecedent,consequent,sup_ant,sup_cons,sup_joint,weight_ant,weight_cons,wsup_ant,reg_ant,reg_cons,maxRegW_ant,maxRegW_cons,wNegSup,wNegConf,severity
Loss of appetite,Insomnia (difficulty in sleeping),0.0997,0.0517,0.003,0.35,0.4,0.0349,53,87,390.0,360.0,0.0135,0.388,0.1455
Indigestion,Vomiting,0.1413,0.476,0.0617,0.26,0.6,0.0367,63,10,444.0,240.0,0.0124,0.3382,0.1454
Increased liver enzymes,Headache,0.109,0.3273,0.0123,0.78,0.3,0.085,56,26,132.0,420.0,0.0226,0.2661,0.1437
Diarrhea,Loss of appetite,0.7387,0.0997,0.0717,0.55,0.35,0.4063,7,53,270.0,390.0,0.1284,0.316,0.1422
Nausea,Insomnia (difficulty in sleeping),0.7083,0.0517,0.039,0.35,0.4,0.2479,8,87,390.0,360.0,0.0937,0.378,0.1417
Dizziness,Vomiting,0.2347,0.476,0.1183,0.35,0.6,0.0821,52,10,390.0,240.0,0.0244,0.2974,0.1413
Loss of appetite,Stomach pain,0.0997,0.2483,0.0433,0.35,0.55,0.0349,53,24,390.0,270.0,0.0108,0.3109,0.1399
Vomiting,Constipation,0.476,0.074,0.0237,0.6,0.32,0.2856,10,64,240.0,408.0,0.0868,0.3041,0.1399
Headache,Abnormal liver function tests,0.3273,0.055,0.0007,0.3,0.4,0.0982,26,104,420.0,360.0,0.0392,0.3992,0.1397
Nausea,Sleepiness,0.7083,0.082,0.057,0.35,0.4,0.2479,8,59,390.0,360.0,0.0912,0.3678,0.1379
Allergic reaction,Indigestion,0.1363,0.1413,0.0003,0.8,0.26,0.1091,57,63,120.0,444.0,0.0283,0.2594,0.1375
Headache,Vomiting,0.3273,0.476,0.161,0.3,0.6,0.0982,26,10,420.0,240.0,0.0299,0.3049,0.1372
Vomiting,Loss of appetite,0.476,0.0997,0.0837,0.6,0.35,0.2856,10,53,240.0,390.0,0.0824,0.2885,0.137
Loss of appetite,Sleepiness,0.0997,0.082,0.009,0.35,0.4,0.0349,53,59,390.0,360.0,0.0127,0.3639,0.1365
Abdominal pain,Constipation,0.1923,0.074,0.005,0.55,0.32,0.1058,29,64,270.0,408.0,0.033,0.3117,0.1356
Rash,Dizziness,0.227,0.2347,0.021,0.5,0.35,0.1135,30,52,300.0,390.0,0.036,0.3176,0.135
Stomach pain,Constipation,0.2483,0.074,0.008,0.55,0.32,0.1366,24,64,270.0,408.0,0.0423,0.3097,0.1347
Diarrhea,Constipation,0.7387,0.074,0.0447,0.55,0.32,0.4063,7,64,270.0,408.0,0.1221,0.3006,0.1308
Indigestion,Sleepiness,0.1413,0.082,0.0013,0.26,0.4,0.0367,63,59,444.0,360.0,0.0146,0.3962,0.1308
Diarrhea,Dizziness,0.7387,0.2347,0.1263,0.55,0.35,0.4063,7,52,270.0,390.0,0.1179,0.2901,0.1306
Stomach pain,Loss of appetite,0.2483,0.0997,0.0433,0.55,0.35,0.1366,24,53,270.0,390.0,0.0395,0.2889,0.13
Indigestion,Insomnia (difficulty in sleeping),0.1413,0.0517,0.0027,0.26,0.4,0.0367,63,87,444.0,360.0,0.0144,0.3925,0.1295
Indigestion,Abnormal liver function tests,0.1413,0.055,0.0047,0.26,0.4,0.0367,63,104,444.0,360.0,0.0142,0.3868,0.1276
Rash,Constipation,0.227,0.074,0.0083,0.5,0.32,0.1135,30,64,300.0,408.0,0.035,0.3083,0.1264
Dizziness,Insomnia (difficulty in sleeping),0.2347,0.0517,0.037,0.35,0.4,0.0821,52,87,390.0,360.0,0.0277,0.3369,0.1263
Vomiting,Dizziness,0.476,0.2347,0.1183,0.6,0.35,0.2856,10,52,240.0,390.0,0.0751,0.263,0.1249
Headache,Insomnia (difficulty in sleeping),0.3273,0.0517,0.044,0.3,0.4,0.0982,26,87,420.0,360.0,0.034,0.3462,0.1212
Headache,Sleepiness,0.3273,0.082,0.0457,0.3,0.4,0.0982,26,59,420.0,360.0,0.0338,0.3442,0.1205
Dizziness,Sleepiness,0.2347,0.082,0.0477,0.35,0.4,0.0821,52,59,390.0,360.0,0.0262,0.3188,0.1195
Sleepiness,Loss of appetite,0.082,0.0997,0.009,0.4,0.35,0.0328,59,53,360.0,390.0,0.0102,0.3116,0.1168
Dizziness,Diarrhea,0.2347,0.7387,0.1263,0.35,0.55,0.0821,52,7,390.0,270.0,0.0209,0.2539,0.1143
Abdominal pain,Headache,0.1923,0.3273,0.0203,0.55,0.3,0.1058,29,26,270.0,420.0,0.0284,0.2683,0.114
Dizziness,Loss of appetite,0.2347,0.0997,0.0267,0.35,0.35,0.0821,52,53,390.0,390.0,0.0255,0.3102,0.1086
Nausea,Loss of appetite,0.7083,0.0997,0.0903,0.35,0.35,0.2479,8,53,390.0,390.0,0.0757,0.3054,0.1069
Headache,Loss of appetite,0.3273,0.0997,0.0203,0.3,0.35,0.0982,26,53,420.0,390.0,0.0322,0.3283,0.1067
Loss of appetite,Constipation,0.0997,0.074,0.0013,0.35,0.32,0.0349,53,64,390.0,408.0,0.011,0.3157,0.1058
Nausea,Constipation,0.7083,0.074,0.045,0.35,0.32,0.2479,8,64,390.0,408.0,0.0743,0.2997,0.1004
Nausea,Dizziness,0.7083,0.2347,0.1617,0.35,0.35,0.2479,8,52,390.0,390.0,0.067,0.2701,0.0945
Dizziness,Constipation,0.2347,0.074,0.036,0.35,0.32,0.0821,52,64,390.0,408.0,0.0223,0.2709,0.0908
Indigestion,Constipation,0.1413,0.074,0.004,0.26,0.32,0.0367,63,64,444.0,408.0,0.0114,0.3109,0.0902
Headache,Constipation,0.3273,0.074,0.0417,0.3,0.32,0.0982,26,64,420.0,408.0,0.0274,0.2793,0.0866
Indigestion,Dizziness,0.1413,0.2347,0.0293,0.26,0.35,0.0367,63,52,444.0,390.0,0.0102,0.2774,0.0846
