antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,wsup_ant,wsup_cons,weight_cons,wconf,rule_type
Loss of appetite,Nausea,0.1078107810781078,0.7557755775577558,0.09937660432709938,0.9217687074829933,1.2196328312984583,1.0,0.01789584899083968,3.121825226000866,0.20184183346149123,0.1300383877159309,0.6796745725317159,0.5266291378268921,0.0343,0.24045,0.35,0.32261904761904764,positive (weighted)
Loss of appetite,Vomiting,0.1078107810781078,0.5236523652365237,0.09204253758709205,0.8537414965986395,1.6303592865717715,1.0,0.03558716707754384,3.25688847954563,0.43335904225269084,0.17063222297756628,0.6929584766932178,0.5147559023609444,0.0343,0.28559999999999997,0.6,0.5122448979591837,positive (weighted)
Rash,Nausea,0.24972497249724973,0.7557755775577558,0.1353135313531353,0.5418502202643172,0.7169459246292057,1.0,-0.05342250396656828,0.533066768215283,-0.34478395351016966,0.1554993678887484,-0.8759376116204314,0.3604447607871804,0.1135,0.24045,0.35,0.189647577092511,positive (weighted)
Sleepiness,Nausea,0.08984231756508984,0.7557755775577558,0.0627062706270627,0.6979591836734693,0.9235005792710096,1.0,-0.005194358819820388,0.8085808580858083,-0.08342079689018483,0.08009367681498827,-0.23673469387755153,0.3904643079939399,0.03266666666666667,0.24045,0.35,0.24428571428571424,positive (weighted)
Stomach pain,Nausea,0.2731939860652732,0.7557755775577558,0.23322332233223322,0.8536912751677853,1.129556578060432,1.0,0.026749979728445894,1.6692403185272662,0.15780943586619198,0.29308755760368665,0.4009250861599857,0.5811396696071823,0.13658333333333333,0.24045,0.35,0.29879194630872485,positive (weighted)
Nausea,Vomiting,0.7557755775577558,0.5236523652365237,0.5181518151815182,0.6855895196506551,1.309245532274045,1.0,0.12238814640539963,1.5150501161227234,0.9671486773397603,0.6806358381502889,0.33995582762689475,0.8375426589849915,0.24045,0.28559999999999997,0.6,0.41135371179039304,positive (weighted)
Vomiting,Nausea,0.5236523652365237,0.7557755775577558,0.5181518151815182,0.9894957983193278,1.309245532274045,1.0,0.12238814640539963,23.25016501650173,0.4958591371118401,0.6806358381502889,0.9569895525777881,0.8375426589849915,0.28559999999999997,0.24045,0.35,0.3463235294117647,positive (weighted)
Weakness,Nausea,0.053171983865053174,0.7557755775577558,0.029336266960029337,0.5517241379310345,0.7300105405812377,1.0,-0.010849819855472901,0.5448083269865447,-0.28089261780013586,0.03762935089369708,-0.8355079217148186,0.2952701233080694,0.02175,0.24045,0.35,0.19310344827586207,positive (weighted)
Sleepiness,Vomiting,0.08984231756508984,0.5236523652365237,0.04913824715804914,0.5469387755102041,1.0444692162579317,1.0,0.0020921050667589633,1.0513979325860514,0.046778596942763914,0.08706952566601689,0.04888532780317662,0.32038815526210485,0.03266666666666667,0.28559999999999997,0.6,0.32816326530612244,positive (weighted)
Stomach pain,Vomiting,0.2731939860652732,0.5236523652365237,0.1378804547121379,0.5046979865771812,0.9638035079803733,1.0,-0.0051782222593363125,0.9617316745224658,-0.04913364125858066,0.2092376182526433,-0.039791062820651965,0.38400165435301636,0.13658333333333333,0.28559999999999997,0.6,0.30281879194630873,positive (weighted)
"Abdominal pain, Diarrhea",Nausea,0.19508617528419508,0.7557755775577558,0.19141914191419143,0.9812030075187971,1.2982729750139541,1.0,0.04397777511524531,12.992739273927448,0.2854292671431938,0.2520521487204249,0.9230339361918313,0.6172390583445514,0.09753333333333335,0.24045,0.35,0.34342105263157896,positive (weighted)
"Abdominal pain, Nausea",Diarrhea,0.2068206820682068,0.8122478914558122,0.19141914191419143,0.9255319148936172,1.1394697661015323,1.0,0.02342947899483755,2.5212426004505275,0.15431419750134204,0.23128046078865752,0.6033701795212776,0.5805989145574181,0.1034,0.40608333333333335,0.55,0.5090425531914895,positive (weighted)
Abdominal pain,"Diarrhea, Nausea",0.2115878254492116,0.62999633296663,0.19141914191419143,0.9046793760831889,1.4360073682065517,1.0,0.05811958778080473,3.881674834150082,0.3851091508509311,0.29441624365482233,0.7423792453705215,0.6042605262255293,0.10578333333333334,0.3149666666666667,0.55,0.49757365684575394,positive (weighted)
"Abdominal pain, Diarrhea",Vomiting,0.19508617528419508,0.5236523652365237,0.15071507150715072,0.7725563909774437,1.4753230239464206,1.0,0.04855773439463491,2.094354890034458,0.4002693580300284,0.26533247256294384,0.5225260032297835,0.5301857585139319,0.09753333333333335,0.28559999999999997,0.6,0.4635338345864662,positive (weighted)
"Abdominal pain, Vomiting",Diarrhea,0.15951595159515952,0.8122478914558122,0.15071507150715072,0.9448275862068966,1.1632256557951273,1.0,0.02114857617041499,3.4030069673634036,0.16695328721927108,0.18356409111210362,0.7061422413793104,0.5651903168054799,0.087,0.40608333333333335,0.55,0.5196551724137931,positive (weighted)
Abdominal pain,"Diarrhea, Vomiting",0.2115878254492116,0.43454345434543457,0.15071507150715072,0.7123050259965338,1.6392032117236688,1.0,0.05877096693901146,1.9654724508595438,0.49459854014598537,0.30421909696521093,0.4912164759355042,0.5295702345172542,0.10578333333333334,0.237,0.6,0.42738301559792025,positive (weighted)
"Abdominal pain, Nausea",Vomiting,0.2068206820682068,0.5236523652365237,0.15804913824715805,0.7641843971631206,1.4593353298766314,1.0,0.04974699890231048,2.0200004962902307,0.39682897239268744,0.27610506085842407,0.5049506166773131,0.5330025627272186,0.1034,0.28559999999999997,0.6,0.4585106382978723,positive (weighted)
"Abdominal pain, Vomiting",Nausea,0.15951595159515952,0.7557755775577558,0.15804913824715805,0.9908045977011494,1.3109772624604727,1.0,0.03749087780065134,26.559405940593894,0.2822305365581078,0.20871670702179176,0.9623485554520035,0.5999631916210745,0.087,0.24045,0.35,0.34678160919540224,positive (weighted)
Abdominal pain,"Nausea, Vomiting",0.2115878254492116,0.5181518151815182,0.15804913824715805,0.7469670710571924,1.4415988696199318,1.0,0.048414522420338835,1.9042904290429044,0.38853504559434515,0.2764592687620269,0.4748700173310225,0.5259959205250576,0.10578333333333334,0.28259999999999996,0.6,0.44818024263431544,positive (weighted)
"Abnormal liver function tests, Diarrhea",Rash,0.05977264393105977,0.24972497249724973,0.03777044371103777,0.6319018404907976,2.530391070511608,1.0,0.022843721849265967,2.0382471580491384,0.6432531087651272,0.1390013495276653,0.5093823651116348,0.3915750024774105,0.029883333333333335,0.1135,0.5,0.3159509202453988,positive (weighted)
Abnormal liver function tests,"Diarrhea, Rash",0.06050605060506051,0.23065639897323065,0.03777044371103777,0.6242424242424243,2.7063737534325774,1.0,0.02381433596238245,2.0474466801518862,0.6711079784452377,0.14905933429811866,0.5115867926163447,0.39399720576191166,0.022000000000000002,0.11531666666666668,0.55,0.3433333333333334,positive (weighted)
"Allergic reaction, Increased liver enzymes",Diarrhea,0.06894022735606894,0.8122478914558122,0.06857352401906858,0.9946808510638298,1.2246025647183132,1.0,0.012576969712617271,35.297396406307065,0.1969890036289499,0.08438628158844766,0.9716692985372338,0.5395526151481677,0.050133333333333335,0.40608333333333335,0.55,0.5470744680851064,positive (weighted)
"Diarrhea, Increased liver enzymes",Allergic reaction,0.08800880088008801,0.14998166483314998,0.06857352401906858,0.7791666666666667,5.195079462102689,1.0,0.05537381754310378,3.8491396309442263,0.8854363546054457,0.40476190476190477,0.7402016824849008,0.6181896903015485,0.062400000000000004,0.10906666666666667,0.8,0.6233333333333334,positive (weighted)
Increased liver enzymes,"Allergic reaction, Diarrhea",0.11807847451411808,0.14044737807114044,0.06857352401906858,0.5807453416149069,4.134967484553136,1.0,0.05198971186692071,2.050192179711799,0.8596684714331773,0.36100386100386106,0.5122408475187078,0.5344979971782107,0.08372,0.10213333333333335,0.8,0.46459627329192554,positive (weighted)
"Allergic reaction, Nausea",Diarrhea,0.06453978731206454,0.8122478914558122,0.05793912724605794,0.8977272727272727,1.1052380463780012,1.0,0.005516821086826933,1.8357983946542802,0.1017868396111726,0.07075682937751904,0.45527787642045453,0.4845295505848553,0.046933333333333334,0.40608333333333335,0.55,0.49375,positive (weighted)
"Allergic reaction, Diarrhea",Rash,0.14044737807114044,0.24972497249724973,0.10854418775210854,0.772845953002611,3.0947884197329225,1.0,0.07347097012598217,3.30293489119027,0.7874749215939489,0.3854166666666667,0.6972389608201957,0.6037504361195141,0.10213333333333335,0.1135,0.5,0.3864229765013055,positive (weighted)
"Allergic reaction, Rash",Diarrhea,0.10927759442610928,0.8122478914558122,0.10854418775210854,0.9932885906040269,1.2228884815246868,1.0,0.019783692096137867,27.975064173084018,0.20462485952399503,0.13351375732972484,0.964253880033557,0.5634614510582211,0.07946666666666667,0.40608333333333335,0.55,0.5463087248322148,positive (weighted)
Allergic reaction,"Diarrhea, Rash",0.14998166483314998,0.23065639897323065,0.10854418775210854,0.7237163814180929,3.1376384294549116,1.0,0.07394995702968415,2.784615334689811,0.8014991371872305,0.398921832884097,0.6408839714619349,0.5971523083561052,0.10906666666666667,0.11531666666666668,0.55,0.39804400977995114,positive (weighted)
