antecedent,consequent,sup_ant,sup_cons,sup_joint,neg_conf,reg_ant,reg_cons,weight_ant,weight_cons,severity_proxy
Heartburn,Dizziness,0.057,0.23466666666666666,0.0026666666666666666,0.9532163742690059,120,52,0.28,0.35,0.9532163742690059
Stomach pain,Rash,0.24833333333333332,0.227,0.011666666666666667,0.953020134228188,24,30,0.55,0.5,0.953020134228188
Fatigue,Increased liver enzymes,0.056666666666666664,0.109,0.0026666666666666666,0.9529411764705883,171,56,0.32,0.78,0.9529411764705883
Fatigue,Abdominal pain,0.056666666666666664,0.19233333333333333,0.0026666666666666666,0.9529411764705883,171,29,0.32,0.55,0.9529411764705883
Flatulence,Sleepiness,0.134,0.082,0.006333333333333333,0.9527363184079602,43,59,0.18,0.4,0.9527363184079602
Dryness in mouth,Increased liver enzymes,0.08966666666666667,0.109,0.004333333333333333,0.9516728624535317,65,56,0.2,0.78,0.9516728624535317
Vomiting,Constipation,0.476,0.074,0.023666666666666666,0.9502801120448179,10,64,0.6,0.32,0.9502801120448179
Stomach pain,Allergic reaction,0.24833333333333332,0.13633333333333333,0.012666666666666666,0.9489932885906041,24,57,0.55,0.8,0.9489932885906041
Allergic reaction,Headache,0.13633333333333333,0.3273333333333333,0.007,0.9486552567237163,57,26,0.8,0.3,0.9486552567237163
Rash,Stomach pain,0.227,0.24833333333333332,0.011666666666666667,0.9486049926578561,30,24,0.5,0.55,0.9486049926578561
Insomnia (difficulty in sleeping),Indigestion,0.051666666666666666,0.14133333333333334,0.0026666666666666666,0.9483870967741936,87,63,0.4,0.26,0.9483870967741936
Dryness in mouth,Abdominal pain,0.08966666666666667,0.19233333333333333,0.004666666666666667,0.9479553903345725,65,29,0.2,0.55,0.9479553903345725
Sleepiness,Increased liver enzymes,0.082,0.109,0.004333333333333333,0.9471544715447155,59,56,0.4,0.78,0.9471544715447155
Fatigue,Stomach pain,0.056666666666666664,0.24833333333333332,0.003,0.9470588235294117,171,24,0.32,0.55,0.9470588235294117
Allergic reaction,Dizziness,0.13633333333333333,0.23466666666666666,0.007333333333333333,0.9462102689486552,57,52,0.8,0.35,0.9462102689486552
Constipation,Indigestion,0.074,0.14133333333333334,0.004,0.9459459459459459,64,63,0.32,0.26,0.9459459459459459
Flatulence,Abdominal pain,0.134,0.19233333333333333,0.007333333333333333,0.945273631840796,43,29,0.18,0.55,0.945273631840796
Nausea,Insomnia (difficulty in sleeping),0.7083333333333334,0.051666666666666666,0.039,0.9449411764705882,8,87,0.35,0.4,0.9449411764705882
Dryness in mouth,Allergic reaction,0.08966666666666667,0.13633333333333333,0.005,0.9442379182156133,65,57,0.2,0.8,0.9442379182156133
Dizziness,Abdominal pain,0.23466666666666666,0.19233333333333333,0.013333333333333334,0.9431818181818181,52,29,0.35,0.55,0.9431818181818181
Itching,Sleepiness,0.051666666666666666,0.082,0.003,0.9419354838709677,109,59,0.28,0.4,0.9419354838709677
Insomnia (difficulty in sleeping),Loss of appetite,0.051666666666666666,0.09966666666666667,0.003,0.9419354838709677,87,53,0.4,0.35,0.9419354838709677
Vomiting,Fatigue,0.476,0.056666666666666664,0.027666666666666666,0.9418767507002801,10,171,0.6,0.32,0.9418767507002801
Nausea,Itching,0.7083333333333334,0.051666666666666666,0.042333333333333334,0.9402352941176471,8,109,0.35,0.28,0.9402352941176471
Loss of appetite,Abdominal pain,0.09966666666666667,0.19233333333333333,0.006,0.9397993311036789,53,29,0.35,0.55,0.9397993311036789
Rash,Indigestion,0.227,0.14133333333333334,0.013666666666666667,0.9397944199706314,30,63,0.5,0.26,0.9397944199706314
Stomach pain,Abdominal pain,0.24833333333333332,0.19233333333333333,0.015,0.9395973154362417,24,29,0.55,0.55,0.9395973154362417
Diarrhea,Constipation,0.7386666666666667,0.074,0.04466666666666667,0.9395306859205776,7,64,0.55,0.32,0.9395306859205776
