antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,weight_cons,rule_type
"Headache, Vomiting",Diarrhea,0.161,0.7386666666666667,0.11266666666666666,0.6997929606625258,0.9473731416911451,1.0,-0.006258666666666676,0.8705103448275859,-0.06209857189159879,0.14315967810249894,-0.14875142603625333,0.42616001823740013,0.55,positive
"Diarrhea, Headache",Vomiting,0.21866666666666668,0.476,0.11266666666666666,0.5152439024390244,1.0824451731912277,1.0,0.00858133333333333,1.0809559748427673,0.0974816729608013,0.19358533791523483,0.07489294358592448,0.37596929015508646,0.6,positive
"Diarrhea, Heartburn",Loss of appetite,0.056,0.09966666666666667,0.05,0.8928571428571429,8.95843287147635,1.0,0.04441866666666667,8.403111111111114,0.9410734463276836,0.47318611987381703,0.8809964563389221,0.6972646918299092,0.35,positive
"Diarrhea, Loss of appetite",Heartburn,0.07166666666666667,0.057,0.05,0.6976744186046512,12.239902080783354,1.0,0.045915000000000004,3.1191538461538464,0.9891921005385997,0.635593220338983,0.6794002318182939,0.7874337005303957,0.28,positive
"Heartburn, Loss of appetite",Diarrhea,0.05,0.7386666666666667,0.05,1.0,1.3537906137184115,1.0,0.013066666666666664,inf,0.27508771929824555,0.06768953068592058,1.0,0.5338447653429603,0.55,positive
Heartburn,"Diarrhea, Loss of appetite",0.057,0.07166666666666667,0.05,0.8771929824561404,12.239902080783354,1.0,0.045915000000000004,7.559285714285719,0.9738069989395548,0.635593220338983,0.8677123688935086,0.7874337005303957,0.55,positive
Loss of appetite,"Diarrhea, Heartburn",0.09966666666666667,0.056,0.05,0.5016722408026756,8.958432871476349,1.0,0.04441866666666667,1.8943355704697986,0.9867160310995927,0.47318611987381703,0.4721104245791055,0.6972646918299092,0.55,positive
"Heartburn, Nausea",Diarrhea,0.057,0.7386666666666667,0.056,0.9824561403508771,1.3300399011970359,1.0,0.013895999999999999,14.895999999999953,0.2631419481896682,0.07570977917981073,0.9328678839957033,0.5291342073595541,0.55,positive
"Diarrhea, Heartburn",Nausea,0.056,0.7083333333333334,0.056,1.0,1.4117647058823528,1.0,0.01633333333333333,inf,0.30896892655367225,0.07905882352941176,1.0,0.5395294117647059,0.35,positive
Heartburn,"Diarrhea, Nausea",0.057,0.5726666666666667,0.056,0.9824561403508771,1.7155811531156178,1.0,0.023358000000000004,24.357999999999926,0.44231934555370406,0.09761766414875073,0.9589457262501025,0.5401221330392337,0.55,positive
